iter	RMSE
0	6.10989556
1	5.999812766
2	5.883302654
3	5.773083823
4	5.668544426
5	5.575559628
6	5.492548627
7	5.400607585
8	5.32254656
9	5.249143965
10	5.177629558
11	5.111870793
12	5.0527283
13	4.990701733
14	4.935714598
15	4.878044411
16	4.827994147
17	4.783978269
18	4.741301262
19	4.702562947
20	4.663997308
21	4.632229979
22	4.598449849
23	4.567847068
24	4.532823317
25	4.504715281
26	4.474674941
27	4.446180604
28	4.420859891
29	4.396475448
30	4.372780512
31	4.35084476
32	4.327148801
33	4.304129547
34	4.28521225
35	4.268742627
36	4.251367981
37	4.233663364
38	4.219745183
39	4.20450277
40	4.187611783
41	4.172797604
42	4.159961096
43	4.148882264
44	4.13685598
45	4.124181693
46	4.11425652
47	4.10343363
48	4.091654681
49	4.078733041
50	4.070416223
51	4.061352708
52	4.051437096
53	4.04176555
54	4.034101054
55	4.0270574
56	4.018426976
57	4.013466997
58	4.006030504
59	3.999965451
60	3.992645502
61	3.987487685
62	3.981653475
63	3.973414497
64	3.968148317
65	3.962074552
66	3.957856748
67	3.950843504
68	3.946009303
69	3.941988909
70	3.937251545
71	3.933758404
72	3.928430355
73	3.923832094
74	3.919215822
75	3.914485534
76	3.911165055
77	3.908340703
78	3.904039968
79	3.901250448
80	3.898920775
81	3.896645588
82	3.894433652
83	3.890660883
84	3.886934904
85	3.884663886
86	3.88213442
87	3.879104119
88	3.876223565
89	3.873058003
90	3.871118226
91	3.868505074
92	3.866446214
93	3.864464636
94	3.861474062
95	3.859277362
96	3.856401021
97	3.854253857
98	3.849759496
99	3.846738986
100	3.84521261
101	3.843060232
102	3.841121332
103	3.837933642
104	3.836117643
105	3.834443256
106	3.832375393
107	3.831283232
108	3.829653541
109	3.827453599
110	3.826100353
111	3.824906725
112	3.823470923
113	3.821776238
114	3.818899929
115	3.816975337
116	3.81497566
117	3.81282505
118	3.811445217
119	3.810637857
120	3.808591305
121	3.806270715
122	3.804668434
123	3.803075935
124	3.801978754
125	3.80049505
126	3.798548868
127	3.797027368
128	3.795302756
129	3.793252139
130	3.792179828
131	3.791031
132	3.790199247
133	3.788860672
134	3.786770564
135	3.784820315
136	3.783493449
137	3.781572629
138	3.780379486
139	3.779260311
140	3.777058759
141	3.776112875
142	3.773937143
143	3.772504887
144	3.771085312
145	3.770018723
146	3.768372191
147	3.766761587
148	3.765624566
149	3.763771298
150	3.762280408
151	3.760942501
152	3.759746702
153	3.758623949
154	3.757454201
155	3.754788598
156	3.752552651
157	3.751562966
158	3.749995257
159	3.748622832
160	3.74782393
161	3.746682209
162	3.745305153
163	3.74381195
164	3.742494036
165	3.741460963
166	3.740530096
167	3.738356338
168	3.737486055
169	3.735865174
170	3.734758587
171	3.733682659
172	3.732176116
173	3.730262114
174	3.728109916
175	3.726631502
176	3.72425003
177	3.722872361
178	3.721721261
179	3.720285637
180	3.718526772
181	3.717266616
182	3.715196784
183	3.714264539
184	3.712614875
185	3.711430009
186	3.709429234
187	3.707482183
188	3.705635038
189	3.702849657
190	3.700679168
191	3.69970026
192	3.697645789
193	3.696305306
194	3.69520804
195	3.693682216
196	3.69150998
197	3.689745359
198	3.687805841
199	3.686306097
