iter	Passed	Remaining
0	0	103
1	0	94
2	1	92
3	1	91
4	2	96
5	2	95
6	3	94
7	3	92
8	4	91
9	4	91
10	5	92
11	5	91
12	6	90
13	6	90
14	7	89
15	7	89
16	8	88
17	8	88
18	9	88
19	9	87
20	10	86
21	10	85
22	11	84
23	11	84
24	11	83
25	12	82
26	12	82
27	13	81
28	13	80
29	14	79
30	14	79
31	15	78
32	15	78
33	15	77
34	16	77
35	16	76
36	17	75
37	17	75
38	18	75
39	18	75
40	19	74
41	19	74
42	20	74
43	20	73
44	21	73
45	21	73
46	22	72
47	22	72
48	23	72
49	23	71
50	24	71
51	24	70
52	25	70
53	25	69
54	26	69
55	26	68
56	27	68
57	27	67
58	28	67
59	28	66
60	29	66
61	29	65
62	29	64
63	30	64
64	30	63
65	31	63
66	31	62
67	32	62
68	32	61
69	32	61
70	33	60
71	33	59
72	34	59
73	34	59
74	35	58
75	35	58
76	36	57
77	36	57
78	37	56
79	37	56
80	38	56
81	38	55
82	39	55
83	39	54
84	40	54
85	40	53
86	41	53
87	41	52
88	41	52
89	42	51
90	42	51
91	43	50
92	43	50
93	44	49
94	44	49
95	44	48
96	45	48
97	45	47
98	46	47
99	46	46
100	47	46
101	47	45
102	48	45
103	48	44
104	48	44
105	49	43
106	49	43
107	50	42
108	50	42
109	51	41
110	51	41
111	52	41
112	52	40
113	53	40
114	53	39
115	54	39
116	54	38
117	55	38
118	55	37
119	56	37
120	56	36
121	57	36
122	57	35
123	57	35
124	58	35
125	58	34
126	59	34
127	59	33
128	60	33
129	60	32
130	61	32
131	61	31
132	61	31
133	62	30
134	62	30
135	63	29
136	63	29
137	64	28
138	64	28
139	65	27
140	65	27
141	65	26
142	66	26
143	66	26
144	67	25
145	67	25
146	68	24
147	68	24
148	69	23
149	69	23
150	70	22
151	70	22
152	71	21
153	71	21
154	72	20
155	72	20
156	72	19
157	73	19
158	73	19
159	74	18
160	74	18
161	75	17
162	75	17
163	76	16
164	76	16
165	77	15
166	77	15
167	77	14
168	78	14
169	78	13
170	79	13
171	79	12
172	80	12
173	80	12
174	81	11
175	81	11
176	82	10
177	82	10
178	83	9
179	83	9
180	84	8
181	84	8
182	84	7
183	85	7
184	86	7
185	87	6
186	87	6
187	88	5
188	88	5
189	89	4
190	89	4
191	89	3
192	90	3
193	90	2
194	91	2
195	91	1
196	92	1
197	92	0
198	93	0
199	93	0
