cgpa,tenth_percentage,twelfth_percentage,backlogs,study_hours_per_day,attendance_percentage,projects_completed,internships_completed,coding_skill_rating,communication_skill_rating,aptitude_skill_rating,hackathons_participated,certifications_count,sleep_hours,stress_level,part_time_job,family_income_level,city_tier,internet_access,extracurricular_involvement,placement_status,salary_lpa,gender_Female,gender_Male,branch_CE,branch_CSE,branch_ECE,branch_IT,branch_ME,total_skills,academic_score
8.74,74.0,75.0,0,3.8,71.1,7,3,4,2,5,4,5,6.5,8,1,1,1,1,1,1,14.95,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11,78.8
7.8,75.3,69.7,0,6.3,69.5,5,1,3,4,3,4,1,7.1,8,1,1,2,1,0,1,14.91,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10,74.33333333333333
6.95,62.8,68.3,0,1.5,62.5,8,2,5,1,4,6,3,6.1,2,0,0,1,1,2,1,17.73,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10,66.86666666666666
7.46,57.9,51.4,1,4.7,64.6,6,2,3,1,4,2,2,7.3,7,0,1,0,1,0,1,14.52,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8,61.29999999999999
6.86,61.3,73.5,2,5.2,75.9,3,3,2,5,3,2,1,6.0,7,0,1,0,1,1,1,15.91,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10,67.80000000000001
7.46,70.5,70.4,3,3.6,81.7,5,3,3,5,4,2,2,8.8,10,1,2,0,1,1,1,14.27,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,71.83333333333333
8.26,81.2,74.8,0,1.8,59.6,4,1,3,1,3,4,4,5.7,8,0,0,0,0,2,1,10.97,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7,79.53333333333333
7.01,63.9,61.2,0,2.4,64.7,7,1,4,1,4,4,5,4.2,10,0,1,1,1,0,1,13.41,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9,65.06666666666666
7.97,71.4,73.8,1,7.6,75.5,7,2,4,5,4,5,7,5.4,10,0,1,1,1,1,1,18.83,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13,74.96666666666665
8.79,70.1,77.1,0,5.9,77.2,7,4,4,1,4,4,3,7.5,10,1,1,0,1,0,1,17.66,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9,78.36666666666666
6.77,62.6,61.7,0,5.2,76.7,4,0,3,1,3,3,4,6.9,3,0,2,0,1,0,1,9.74,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7,64.0
9.62,83.4,86.8,0,8.3,75.1,8,3,5,4,5,5,7,7.9,8,0,1,0,1,2,1,19.73,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14,88.8
8.17,72.1,71.3,0,2.4,70.7,7,1,4,1,5,4,4,7.6,4,0,2,2,1,2,1,12.35,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10,75.03333333333332
8.94,84.9,81.7,0,4.0,70.8,2,3,2,3,4,2,1,6.2,2,1,1,1,1,1,1,13.72,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9,85.33333333333333
8.13,75.9,70.3,0,4.1,71.3,8,1,5,3,4,4,7,6.4,8,1,1,2,1,0,1,16.54,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12,75.83333333333333
8.57,79.5,79.0,1,6.5,74.2,7,3,5,4,4,6,3,6.5,3,0,0,2,1,2,1,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13,81.39999999999999
8.97,76.3,84.0,0,0.7,62.5,7,4,5,1,4,6,2,9.0,4,0,0,1,1,1,1,20.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,83.33333333333333
8.14,66.2,83.0,0,4.2,80.7,2,2,1,4,4,1,1,7.8,3,0,0,2,0,1,1,13.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9,76.86666666666666
9.06,78.0,82.3,0,4.0,76.1,8,2,5,1,5,6,4,9.0,6,0,0,0,1,1,1,14.26,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11,83.63333333333334
9.44,78.7,96.4,0,5.6,81.1,7,3,5,1,4,4,6,8.0,10,0,0,1,1,0,1,20.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10,89.83333333333333
7.22,70.4,67.8,1,3.1,62.8,3,1,3,1,5,2,3,6.9,2,1,0,0,1,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9,70.13333333333333
7.75,70.7,70.9,2,6.4,91.2,3,2,2,3,4,1,1,5.8,10,0,0,2,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,9,73.03333333333335
7.6,77.7,64.1,0,4.8,72.0,8,2,5,3,5,3,2,7.2,7,0,2,0,1,0,1,16.01,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13,72.60000000000001
7.56,70.3,67.0,0,2.4,70.3,7,3,5,2,4,5,6,6.9,10,0,0,2,1,1,1,16.37,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11,70.96666666666667
8.59,84.4,82.7,0,5.2,76.3,5,3,4,4,4,4,5,6.9,8,0,1,0,1,1,1,17.31,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12,84.33333333333334
7.57,70.3,62.5,2,3.8,72.2,6,1,4,5,4,4,1,6.7,3,0,0,2,1,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13,69.5
7.37,71.9,62.6,0,5.0,79.4,4,0,2,4,4,2,2,4.5,10,0,2,1,1,0,1,12.27,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,69.39999999999999
7.91,71.3,71.1,0,1.6,70.2,2,1,2,4,3,3,5,8.5,2,0,2,1,1,1,1,15.53,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9,73.83333333333333
8.98,87.1,80.5,0,3.5,62.6,7,3,5,3,4,5,3,6.9,10,1,1,1,1,0,1,16.73,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12,85.8
7.85,75.0,76.3,0,6.0,70.9,8,1,5,1,4,3,0,5.3,10,0,1,1,1,1,1,16.24,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,76.60000000000001
8.74,71.7,84.8,0,6.8,79.8,2,1,2,4,4,1,0,7.6,9,0,0,1,1,1,1,11.77,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10,81.3
8.19,78.2,67.9,0,4.9,77.2,5,2,3,4,4,5,1,6.0,5,0,2,2,1,1,1,17.94,0.0,1.0,0.0,0.0,1.0,0.0,0.0,11,76.0
